State,shopping centre,url,Coordinate,latitude,longitude
Australian Capital Territory,Canberra Centre,https://en.wikipedia.org/wiki/Canberra_Centre,"35°16′50″S,149°08′0″E",-35.28056,149.13333
Australian Capital Territory,Erindale Centre,https://en.wikipedia.org/wiki/Erindale_Centre,"35°24′11″S,149°05′56″E",-35.40306,149.09889
Australian Capital Territory,Kippax Fair,https://en.wikipedia.org/wiki/Kippax_Fair,"35°13′21″S,149°01′12″E",-35.2225,149.02
Australian Capital Territory,Majura Park Shopping Centre,https://en.wikipedia.org/wiki/Majura_Park_Shopping_Centre,"35°17′57″S,149°11′27″E",-35.29917,149.19083
Australian Capital Territory,South.Point Tuggeranong,https://en.wikipedia.org/wiki/South.Point_Tuggeranong,"35°24′59″S,149°03′59″E",-35.41639,149.06639
Australian Capital Territory,Westfield Belconnen,https://en.wikipedia.org/wiki/Westfield_Belconnen,"35°14′18″S,149°03′54″E",-35.23833,149.065
Australian Capital Territory,Westfield Woden,https://en.wikipedia.org/wiki/Westfield_Woden,"35°20′47″S,149°05′12″E",-35.34639,149.08667
New South Wales,Broadway Shopping Centre,https://en.wikipedia.org/wiki/Broadway_Shopping_Centre,"33°53′2″S,151°11′38″E",-33.88389,151.19389
New South Wales,Central Park Mall,"https://en.wikipedia.org/wiki/Central_Park,_Sydney","33°53′6.92″S,151°12′1.14″E",-33.885,151.20028
New South Wales,The Galeries Victoria,https://en.wikipedia.org/wiki/The_Galeries_Victoria,"33°52′22″S,151°12′26″E",-33.87278,151.20722
New South Wales,Harbourside Shopping Centre,https://en.wikipedia.org/wiki/Harbourside_Shopping_Centre,"33°52′19″S,151°11′56″E",-33.87194,151.19889
New South Wales,Mid City Centre,https://en.wikipedia.org/wiki/Mid_City_Centre,"33°52′10.86″S,151°12′27.02″E",-33.86944,151.2075
New South Wales,MLC Centre,https://en.wikipedia.org/wiki/MLC_Centre,"33°52′05″S,151°12′34″E",-33.86806,151.20944
New South Wales,Queen Victoria Building,"https://en.wikipedia.org/wiki/Queen_Victoria_Building,_Sydney","33°52′18″S,151°12′24″E",-33.87167,151.20667
New South Wales,Soul Pattinson Building,https://en.wikipedia.org/wiki/Soul_Pattinson_Building,"33°52′10″S,151°12′30″E",-33.86944,151.20833
New South Wales,Stockland Glasshouse,https://en.wikipedia.org/wiki/Stockland_Glasshouse,"33°52′09″S,151°12′32″E",-33.86917,151.20889
New South Wales,The Strand Arcade,https://en.wikipedia.org/wiki/The_Strand_Arcade,"33°52′10″S,151°12′27″E",-33.86944,151.2075
New South Wales,Westfield Sydney,https://en.wikipedia.org/wiki/Westfield_Sydney,"33°52′14″S,151°12′31″E",-33.87056,151.20861
New South Wales,World Square,https://en.wikipedia.org/wiki/World_Square,"33°52′39.23″S,151°12′23.72″E",-33.8775,151.20639
New South Wales,Bankstown Central,https://en.wikipedia.org/wiki/Bankstown_Central_Shopping_Centre,"33°54′58″S,151°02′18″E",-33.91611,151.03833
New South Wales,Bass Hill Plaza,https://en.wikipedia.org/wiki/Bass_Hill_Plaza,"33°53′57″S,150°59′40″E",-33.89917,150.99444
New South Wales,Birkenhead Point Outlet Centre,https://en.wikipedia.org/wiki/Birkenhead_Point_Outlet_Centre,"33°51′21″S,151°9′41″E",-33.85583,151.16139
New South Wales,Burwood Plaza,https://en.wikipedia.org/wiki/Burwood_Plaza,"33°52′39″S,151°06′09″E",-33.8775,151.1025
New South Wales,Carlingford Court,https://en.wikipedia.org/wiki/Carlingford_Court,"33°46′35″S,151°03′09″E",-33.77639,151.0525
