Id,State,shopping centre,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
1,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Garema Place,-35.278245364160874,149.13184729985187,Plaza
2,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Lower Ground Food Court,-35.28029911545272,149.13319905640898,Food Court
3,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Dendy Cinemas,-35.27759527896845,149.132741689682,Movie Theater
4,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Apple Canberra,-35.280284,149.133653,Electronics Store
6,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,David Jones,-35.27979480145621,149.1323925548669,Department Store
8,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,The Cupping Room,-35.280471715528144,149.12610648638585,Coffee Shop
9,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Bentspoke Brewing Co.,-35.27315667697741,149.13184981936868,Brewery
10,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Crowne Plaza,-35.28282802402581,149.13474177906807,Hotel
11,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Dymocks,-35.28039454448914,149.13282662824295,Bookstore
12,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,QT Canberra,-35.28377008305669,149.12589385853963,Hotel
13,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Akiba,-35.27761192031039,149.1315883398056,Restaurant
14,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Koko Black,-35.27799510939021,149.132741689682,Chocolate Shop
15,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Coffee Lab,-35.27697453908258,149.13317866872976,Coffee Shop
16,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Blu Ginger,-35.2773463,149.1319617,Indian Restaurant
17,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Kokomo's,-35.27748,149.13191,Bar
18,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Smith's Alternative Bookshop,-35.278426087307224,149.12870844307903,Bookstore
19,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Coffee Guru,-35.280181610535735,149.13341040968726,Coffee Shop
20,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Barrio Collective Coffee,-35.27167885398807,149.1330738866158,Coffee Shop
21,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,SPAR Supermarket & Bottlemart,-35.27882498123941,149.12565529346466,Food & Drink Shop
22,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Temporada,-35.2760893647487,149.12825395278512,Spanish Restaurant
23,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,The Canberra Times Fountain,-35.28049053620764,149.13251404246125,Fountain
24,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Transit Bar,-35.281704781898945,149.13253866173525,Bar
25,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Zara,-35.27994245958549,149.13407105606805,Clothing Store
26,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Cafe Essen,-35.27784840177795,149.13188442857597,Café
27,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Močan and Green Grout,-35.284577558296746,149.12502859283262,Café
28,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,mookie,-35.27695344402519,149.13201212882996,Burger Joint
29,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Psychedeli,-35.27555762256054,149.12703405967966,Café
30,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Guzman Y Gomez,-35.278662059835995,149.13304475089816,Mexican Restaurant
31,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Kinn Thai,-35.27778753064333,149.13260757923126,Asian Restaurant
32,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Civic Square,-35.28087626317752,149.13131837406482,Plaza
33,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Canberra Theatre Centre,-35.28125728546606,149.13073181865337,Performing Arts Venue
34,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Binara One,-35.28269239095572,149.13428527902215,Bar
35,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Brew Nation,-35.27868,149.12983,Bar
36,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,QT Lounge,-35.28399121508056,149.12518462432683,Lounge
37,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Stage 88,-35.28852561185354,149.13125109178375,Music Venue
38,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Two Before Ten,-35.27975337660723,149.12622928619385,Café
39,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Grill'd,-35.278091752706295,149.13283043779225,Burger Joint
41,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Rye,-35.27468,149.13233,Café
42,Australian Capital Territory,Canberra Centre,-35.280559999999994,149.13333,Hopscotch,-35.275260285107855,149.13235642997452,Bar
